PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,PTS,FG_PCT,DREB,DEF_RATING,DEF_WS,Salary,REB,STL,BLK
1630182,Josh Green,DAL,1610612742,22,5,0.424,1.6,109.7,-0.477,12654321,2.5,0.8,0.1
1627884,Derrick Jones Jr.,DAL,1610612742,22,9.1,0.481,2,107.8,-0.724,9523810,3.5,0.5,1
1629029,Luka Don??i??,DAL,1610612742,22,28.9,0.446,8.7,109.4,-1.023,43031940,9.5,1.9,0.4
1629655,Daniel Gafford,DAL,1610612742,22,9,0.634,3.6,111.3,-0.538,13394160,5.5,0.3,1.5
202681,Kyrie Irving,DAL,1610612742,22,22.1,0.467,2.7,110.9,-1.033,41000000,3.7,1,0.3
1629023,P.J. Washington,DAL,1610612742,22,13,0.427,5.1,110.4,-0.922,15500000,6.6,0.7,0.8
203957,Dant?? Exum,DAL,1610612742,21,2,0.364,0.7,106.5,-0.17,3150000,0.8,0.1,0
1641726,Dereck Lively II,DAL,1610612742,21,7.9,0.674,4.7,105.4,-0.519,5014560,7.4,0.4,1
1630202,Payton Pritchard,BOS,1610612738,19,6.4,0.419,1.2,108.6,-0.471,6696429,1.9,0.2,0
201950,Jrue Holiday,BOS,1610612738,19,13.2,0.503,4.2,107.3,-0.921,30000000,6.1,1.1,0.6
1628401,Derrick White,BOS,1610612738,19,16.7,0.452,3.3,108.1,-0.89,20071429,4.3,0.9,1.2
1627759,Jaylen Brown,BOS,1610612738,19,23.9,0.516,4.8,109.9,-0.959,49700000,5.9,1.2,0.6
1630573,Sam Hauser,BOS,1610612738,19,5.4,0.429,1.7,102.2,-0.322,2092344,2.2,0.3,0.2
1630702,Jaden Hardy,DAL,1610612742,19,4.2,0.426,0.7,106,-0.169,2019699,0.8,0.2,0
201143,Al Horford,BOS,1610612738,19,9.2,0.478,5.2,106.6,-0.72,9500000,7,0.8,0.8
1628369,Jayson Tatum,BOS,1610612738,19,25,0.427,8.8,108.6,-1.006,34848340,9.7,1.1,0.7
1627783,Pascal Siakam,IND,1610612754,17,21.6,0.541,5.1,117.5,-1.063,42176400,7.5,0.8,0.4
1630174,Aaron Nesmith,IND,1610612754,17,10.5,0.433,3.8,117.7,-0.992,11000000,4.9,0.6,0.5
1630167,Obi Toppin,IND,1610612754,17,10.9,0.541,3.8,113.6,-0.586,12975000,4.4,0.4,0.4
204456,T.J. McConnell,IND,1610612754,17,11.8,0.486,2.4,113.9,-0.595,9300000,3.1,0.9,0.1
1629614,Andrew Nembhard,IND,1610612754,17,14.9,0.56,2.5,119.4,-1.002,2019699,3.3,0.4,0.2
1626167,Myles Turner,IND,1610612754,17,17,0.517,5.1,119,-0.986,19928500,6.6,0.5,1.5
1641767,Ben Sheppard,IND,1610612754,17,5.2,0.437,2.4,113.8,-0.572,2663880,3,0.5,0.1
1629638,Nickeil Alexander-Walker,MIN,1610612750,16,7.3,0.366,1.4,110.7,-0.632,4312500,1.8,0.6,0.4
1630183,Jaden McDaniels,MIN,1610612750,16,12.2,0.514,2.1,111.5,-0.883,23017242,3.8,0.9,1.1
1629675,Naz Reid,MIN,1610612750,16,11.1,0.458,3.1,113.4,-0.631,13986432,3.7,0.5,0.8
1626157,Karl-Anthony Towns,MIN,1610612750,16,19.1,0.466,6.8,111.7,-0.866,49205800,9,0.8,0.2
1630162,Anthony Edwards,MIN,1610612750,16,27.6,0.481,5.9,110.6,-1.05,42176400,7,1.5,0.6
201144,Mike Conley,MIN,1610612750,15,11.6,0.428,3.2,110.9,-0.808,9975962,3.9,1.4,0.2
203937,Kyle Anderson,MIN,1610612750,15,4.3,0.456,1.5,112.7,-0.431,8780488,2.7,0.7,0.3
203497,Rudy Gobert,MIN,1610612750,15,12.1,0.615,7.1,109.3,-0.863,43827586,9.8,0.9,1
1630169,Tyrese Haliburton,IND,1610612754,15,18.7,0.488,4,116.9,-1.027,42176400,4.8,1.3,0.7
1630543,Isaiah Jackson,IND,1610612754,15,3.8,0.535,1.8,109.9,-0.273,4435381,3.2,0.2,0.9
203501,Tim Hardaway Jr.,DAL,1610612742,14,4.4,0.379,1.6,113.4,-0.361,16193183,1.8,0.4,0.1
1628973,Jalen Brunson,NYK,1610612752,13,32.4,0.444,2.7,118.2,-1.197,24960001,3.3,0.8,0.2
1628392,Isaiah Hartenstein,NYK,1610612752,13,8.5,0.592,4.1,128.2,-1.047,30000000,7.8,0.3,0.9
